Timestamp start: 1778760371212
Timestamp end: 1778761501563

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      259.1   147.5    74.4   123.8   138.9   237.7   286.0   312.3   332.0   356.4   390.3   450.1   631.6  2020.0  3468.0 109343.8   109276
read      246.6   144.0    80.4   135.8   154.2   231.5   262.5   279.0   291.4   306.7   326.8   362.8   589.0  2009.1  5639.8  13093.8    13150
read      286.9   242.0    74.4   115.0   127.8   240.4   300.4   337.0   367.6   410.1   472.9   579.1  1083.9  3081.0  7095.1  61384.8    61250
read      255.9   237.1    74.4   118.2   131.3   227.0   277.9   304.9   323.6   346.4   378.0   435.6   714.4  3830.5  8401.6  84436.0    84472
read      236.9   108.3    74.4   116.7   129.3   221.1   271.4   296.9   314.6   335.2   361.5   401.7   518.0   891.8  2003.4  81992.2    82226
read      290.4   242.9    74.4   122.9   140.1   263.3   313.1   341.3   362.2   386.5   417.8   467.9   911.5  3337.4  7684.9  27591.0    27671
read      313.6   557.6    74.4   120.8   135.6   239.0   291.8   321.3   344.7   374.3   420.0   516.6  1696.0  7149.1  9742.0  98728.8    98736
read      253.2   138.2    68.9   121.9   136.7   232.6   280.6   306.8   325.8   348.9   381.9   437.2   610.4  1642.2  3627.8 106224.6   106314
read      256.5   155.6    74.4   122.1   137.0   234.4   282.5   308.7   327.8   351.4   384.9   441.5   627.1  2170.9  4258.0 105124.4   105027
read      244.2   135.8    74.4   119.1   132.5   225.5   273.8   299.6   317.9   340.2   369.1   417.8   553.4  1540.9  4018.2  96733.8    96867
read      240.6   109.5    74.4   117.8   130.7   222.9   272.8   298.5   316.7   338.5   366.7   412.8   552.0  1076.2  1914.7  89709.4    89493
read      284.9   240.2    74.4   117.4   130.4   248.7   303.6   336.2   363.0   398.6   449.5   535.6   984.3  3211.3  7639.6  50397.0    50538
read      288.4   227.2    74.4   129.6   148.6   263.3   308.9   333.8   351.3   372.4   399.6   448.3  1030.4  3126.5  7636.1  22024.0    22083
read      273.1   195.7    74.4   118.8   132.6   247.0   297.5   326.8   349.0   379.8   422.5   495.2   756.5  2801.8  4741.7  48551.4    48618
read      260.2   217.5    74.4   119.4   133.2   229.3   279.6   306.9   326.6   351.3   386.1   453.1   810.6  3377.2  7287.5  94258.6    94298
read      322.0   422.5    74.4   117.8   131.2   248.6   310.0   347.3   380.3   426.3   496.4   624.3  1915.6  6033.4  8033.8  63475.8    63579
read      338.2   413.8    74.4   117.9   131.7   254.0   320.0   365.6   404.5   461.2   543.5   724.0  2083.1  5481.1  8095.6  64433.2    64573
read      240.8   129.5    74.4   116.9   129.5   223.0   274.5   300.2   317.9   338.7   365.2   407.0   544.3  1299.7  4788.0  77181.2    77178
read      280.3   226.8    80.4   125.4   141.4   257.2   301.0   326.5   346.2   372.1   405.4   465.1   768.0  2982.7  8099.2  29724.8    29824
read      422.2   816.2    74.4   119.4   133.8   253.8   317.6   360.4   397.6   451.9   536.3   870.6  5345.8  7948.0 12720.0  64548.8    64495
read      320.5   560.2    80.4   130.9   149.0   249.1   288.8   312.6   331.6   356.0   390.0   456.4  2269.8  8100.8 15127.0  20869.2    20917
read      244.4   126.2    74.4   117.8   130.7   224.2   274.7   301.3   319.7   342.3   371.8   425.2   616.6  1205.8  2781.6  85523.0    85651
read      284.1   292.1    74.4   116.1   128.7   240.5   299.6   334.2   362.6   400.1   454.8   540.0   932.5  4249.0  9038.1  61788.6    61935
